data,valor,municipio
2000-02-18,0.7948,Pinhal de São Bento
2000-03-05,0.7808,Pinhal de São Bento
2000-03-21,0.7623,Pinhal de São Bento
2000-09-13,0.6804,Pinhal de São Bento
2000-09-29,0.7130,Pinhal de São Bento
2000-10-15,0.7108,Pinhal de São Bento
2000-10-31,0.6954,Pinhal de São Bento
2000-11-16,0.6778,Pinhal de São Bento
2000-12-02,0.6776,Pinhal de São Bento
2000-12-18,0.6883,Pinhal de São Bento
2001-01-01,0.7231,Pinhal de São Bento
2001-01-17,0.7788,Pinhal de São Bento
2001-02-02,0.7996,Pinhal de São Bento
2001-02-18,0.8066,Pinhal de São Bento
2001-03-06,0.7942,Pinhal de São Bento
2001-03-22,0.7737,Pinhal de São Bento
2001-09-14,0.6821,Pinhal de São Bento
2001-09-30,0.6690,Pinhal de São Bento
2001-10-16,0.6653,Pinhal de São Bento
2001-11-01,0.6629,Pinhal de São Bento
2001-11-17,0.6711,Pinhal de São Bento
2001-12-03,0.6683,Pinhal de São Bento
2001-12-19,0.6741,Pinhal de São Bento
2002-01-01,0.7061,Pinhal de São Bento
2002-01-17,0.7378,Pinhal de São Bento
2002-02-02,0.7704,Pinhal de São Bento
2002-02-18,0.7817,Pinhal de São Bento
2002-03-06,0.7939,Pinhal de São Bento
2002-03-22,0.7845,Pinhal de São Bento
2002-09-06,0.6928,Pinhal de São Bento
2002-09-14,0.6913,Pinhal de São Bento
2002-09-22,0.7034,Pinhal de São Bento
2002-09-30,0.7278,Pinhal de São Bento
2002-10-08,0.7524,Pinhal de São Bento
2002-10-16,0.7492,Pinhal de São Bento
2002-10-24,0.7530,Pinhal de São Bento
2002-11-01,0.7498,Pinhal de São Bento
2002-11-09,0.7304,Pinhal de São Bento
2002-11-17,0.7095,Pinhal de São Bento
2002-11-25,0.6991,Pinhal de São Bento
2002-12-03,0.7164,Pinhal de São Bento
2002-12-11,0.7329,Pinhal de São Bento
2002-12-19,0.7338,Pinhal de São Bento
2002-12-27,0.7430,Pinhal de São Bento
2003-01-01,0.7586,Pinhal de São Bento
2003-01-09,0.7644,Pinhal de São Bento
2003-01-17,0.7699,Pinhal de São Bento
2003-01-25,0.7806,Pinhal de São Bento
2003-02-02,0.8033,Pinhal de São Bento
2003-02-10,0.8035,Pinhal de São Bento
2003-02-18,0.8116,Pinhal de São Bento
2003-02-26,0.7976,Pinhal de São Bento
2003-03-06,0.7884,Pinhal de São Bento
2003-03-14,0.7785,Pinhal de São Bento
2003-03-22,0.7583,Pinhal de São Bento
2003-03-30,0.7428,Pinhal de São Bento
2003-09-06,0.6069,Pinhal de São Bento
2003-09-14,0.6061,Pinhal de São Bento
2003-09-22,0.6132,Pinhal de São Bento
2003-09-30,0.6105,Pinhal de São Bento
2003-10-08,0.6123,Pinhal de São Bento
2003-10-16,0.6349,Pinhal de São Bento
2003-10-24,0.6300,Pinhal de São Bento
2003-11-01,0.6189,Pinhal de São Bento
2003-11-09,0.6184,Pinhal de São Bento
2003-11-17,0.6347,Pinhal de São Bento
2003-11-25,0.6565,Pinhal de São Bento
2003-12-03,0.6806,Pinhal de São Bento
2003-12-11,0.7106,Pinhal de São Bento
2003-12-19,0.7511,Pinhal de São Bento
2003-12-27,0.7547,Pinhal de São Bento
2004-01-01,0.7643,Pinhal de São Bento
2004-01-09,0.7815,Pinhal de São Bento
2004-01-17,0.7958,Pinhal de São Bento
2004-01-25,0.7941,Pinhal de São Bento
2004-02-02,0.7774,Pinhal de São Bento
2004-02-10,0.7687,Pinhal de São Bento
2004-02-18,0.7436,Pinhal de São Bento
2004-02-26,0.7045,Pinhal de São Bento
2004-03-05,0.6721,Pinhal de São Bento
2004-03-13,0.6444,Pinhal de São Bento
2004-03-21,0.6366,Pinhal de São Bento
2004-03-29,0.6340,Pinhal de São Bento
2004-09-05,0.6718,Pinhal de São Bento
2004-09-13,0.6709,Pinhal de São Bento
2004-09-21,0.6789,Pinhal de São Bento
2004-09-29,0.6746,Pinhal de São Bento
2004-10-07,0.6731,Pinhal de São Bento
2004-10-15,0.6862,Pinhal de São Bento
2004-10-23,0.6992,Pinhal de São Bento
2004-10-31,0.7139,Pinhal de São Bento
2004-11-08,0.7137,Pinhal de São Bento
2004-11-16,0.7169,Pinhal de São Bento
2004-11-24,0.7126,Pinhal de São Bento
2004-12-02,0.7061,Pinhal de São Bento
2004-12-10,0.6876,Pinhal de São Bento
2004-12-18,0.7139,Pinhal de São Bento
2004-12-26,0.7386,Pinhal de São Bento
2005-01-01,0.7386,Pinhal de São Bento
2005-01-09,0.7446,Pinhal de São Bento
2005-01-17,0.7307,Pinhal de São Bento
2005-01-25,0.7153,Pinhal de São Bento
2005-02-02,0.6750,Pinhal de São Bento
2005-02-10,0.6262,Pinhal de São Bento
2005-02-18,0.6063,Pinhal de São Bento
2005-02-26,0.6072,Pinhal de São Bento
2005-03-06,0.6096,Pinhal de São Bento
2005-03-14,0.6347,Pinhal de São Bento
2005-03-22,0.6521,Pinhal de São Bento
2005-03-30,0.6855,Pinhal de São Bento
2005-09-06,0.6266,Pinhal de São Bento
2005-09-14,0.6322,Pinhal de São Bento
2005-09-22,0.6562,Pinhal de São Bento
2005-09-30,0.6797,Pinhal de São Bento
2005-10-08,0.6997,Pinhal de São Bento
2005-10-16,0.7224,Pinhal de São Bento
2005-10-24,0.7266,Pinhal de São Bento
2005-11-01,0.7238,Pinhal de São Bento
2005-11-09,0.7035,Pinhal de São Bento
2005-11-17,0.7136,Pinhal de São Bento
2005-11-25,0.7065,Pinhal de São Bento
2005-12-03,0.6925,Pinhal de São Bento
2005-12-11,0.6625,Pinhal de São Bento
2005-12-19,0.6543,Pinhal de São Bento
2005-12-27,0.6553,Pinhal de São Bento
2006-01-01,0.6880,Pinhal de São Bento
2006-01-09,0.7100,Pinhal de São Bento
2006-01-17,0.7660,Pinhal de São Bento
2006-01-25,0.7960,Pinhal de São Bento
2006-02-02,0.8156,Pinhal de São Bento
2006-02-10,0.8133,Pinhal de São Bento
2006-02-18,0.8176,Pinhal de São Bento
2006-02-26,0.8088,Pinhal de São Bento
2006-03-06,0.7901,Pinhal de São Bento
2006-03-14,0.7609,Pinhal de São Bento
2006-03-22,0.7576,Pinhal de São Bento
2006-03-30,0.7620,Pinhal de São Bento
2006-09-06,0.6324,Pinhal de São Bento
2006-09-14,0.6565,Pinhal de São Bento
2006-09-22,0.6781,Pinhal de São Bento
2006-09-30,0.7055,Pinhal de São Bento
2006-10-08,0.7381,Pinhal de São Bento
2006-10-16,0.7492,Pinhal de São Bento
2006-10-24,0.7256,Pinhal de São Bento
2006-11-01,0.7135,Pinhal de São Bento
2006-11-09,0.7008,Pinhal de São Bento
2006-11-17,0.7046,Pinhal de São Bento
2006-11-25,0.7138,Pinhal de São Bento
2006-12-03,0.7357,Pinhal de São Bento
2006-12-11,0.7755,Pinhal de São Bento
2006-12-19,0.8048,Pinhal de São Bento
2006-12-27,0.8049,Pinhal de São Bento
2007-01-01,0.8202,Pinhal de São Bento
2007-01-09,0.8379,Pinhal de São Bento
2007-01-17,0.8392,Pinhal de São Bento
2007-01-25,0.8265,Pinhal de São Bento
2007-02-02,0.8194,Pinhal de São Bento
2007-02-10,0.8179,Pinhal de São Bento
2007-02-18,0.8053,Pinhal de São Bento
2007-02-26,0.7892,Pinhal de São Bento
2007-03-06,0.7587,Pinhal de São Bento
2007-03-14,0.7454,Pinhal de São Bento
2007-03-22,0.7371,Pinhal de São Bento
2007-03-30,0.7281,Pinhal de São Bento
2007-09-06,0.6174,Pinhal de São Bento
2007-09-14,0.6255,Pinhal de São Bento
2007-09-22,0.6047,Pinhal de São Bento
2007-09-30,0.6141,Pinhal de São Bento
2007-10-08,0.6147,Pinhal de São Bento
2007-10-16,0.6363,Pinhal de São Bento
2007-10-24,0.6403,Pinhal de São Bento
2007-11-01,0.6523,Pinhal de São Bento
2007-11-09,0.6736,Pinhal de São Bento
2007-11-17,0.7133,Pinhal de São Bento
2007-11-25,0.7174,Pinhal de São Bento
2007-12-03,0.7311,Pinhal de São Bento
