data,valor,municipio
2000-02-18,0.7948,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2000-03-05,0.7808,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2000-03-21,0.7623,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2000-09-13,0.6804,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2000-09-29,0.7130,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2000-10-15,0.7108,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2000-10-31,0.6954,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2000-11-16,0.6778,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2000-12-02,0.6776,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2000-12-18,0.6883,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2001-01-01,0.7231,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2001-01-17,0.7788,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2001-02-02,0.7996,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2001-02-18,0.8066,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2001-03-06,0.7942,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2001-03-22,0.7737,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2001-09-14,0.6821,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2001-09-30,0.6690,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2001-10-16,0.6653,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2001-11-01,0.6629,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2001-11-17,0.6711,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2001-12-03,0.6683,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2001-12-19,0.6741,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2002-01-01,0.7061,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2002-01-17,0.7378,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2002-02-02,0.7704,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2002-02-18,0.7817,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2002-03-06,0.7939,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2002-03-22,0.7845,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2002-09-06,0.6928,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2002-09-14,0.6913,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2002-09-22,0.7034,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2002-09-30,0.7278,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2002-10-08,0.7524,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2002-10-16,0.7492,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2002-10-24,0.7530,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2002-11-01,0.7498,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2002-11-09,0.7304,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2002-11-17,0.7095,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2002-11-25,0.6991,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2002-12-03,0.7164,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2002-12-11,0.7329,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2002-12-19,0.7338,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2002-12-27,0.7430,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2003-01-01,0.7586,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
2003-01-09,0.7644,api_Municipios — camada_unida_Pinhal_de_São_Bento_1_1
