municipio,SAFRA,ano,mes,REGIAO,Solo,Altitude (m),Tmax (°C),Tmin (°C),Tmed (°C),UR (%),U2 (m/s),RS (MJ/m²d),Chuva (mm),NDVI,AREA TOTAL,PRODUCAO,YIELD_SC_HA,GDD,VPD,NDVI_x_RS,NDVI_Quadrado,Tmed_Quadrado,Desvio_Temp_Otima,Chuva_Total_Safra_Anterior,NDVI_Medio_Safra_Anterior
Bandeirantes,00/01,2000,9,Norte,Nitossolo Vermelho eutrófico,420.0,26.999333333333333,15.468333333333334,20.833666666666662,76.71866666666666,2.8976666666666664,16.016333333333332,143.07999999999998,0.3813999999999999,7500.0,19500.0,43.33,11.233833333333333,0.5731186746275949,6.108629533333331,0.14546595999999992,434.0416667777776,10.025666777777806,,
Bandeirantes,00/01,2000,10,Norte,Nitossolo Vermelho eutrófico,420.0,32.557096774193546,18.793225806451613,25.22870967741936,66.44,2.5503225806451613,22.08451612903226,71.28,0.3665,7500.0,19500.0,43.33,15.675161290322578,1.077675384461101,8.093975161290324,0.13432225,636.4877919875132,1.5097274713839877,,
Bandeirantes,00/01,2000,11,Norte,Nitossolo Vermelho eutrófico,420.0,30.932333333333336,19.299666666666667,24.996,71.489,2.393333333333333,22.179,173.52,0.4962,7500.0,19500.0,43.33,15.116,0.9029499381095579,11.005219799999999,0.24621443999999998,624.8000159999999,0.9920159999999973,,
Bandeirantes,00/01,2000,12,Norte,Nitossolo Vermelho eutrófico,420.0,30.31032258064516,19.978387096774195,25.13483870967742,73.63516129032259,2.1241935483870966,22.66774193548387,157.65,0.6610499999999999,7500.0,19500.0,43.33,15.144354838709678,0.8419109423078625,14.984510806451611,0.4369871024999999,631.7601169614985,1.287858896982314,,
Bandeirantes,00/01,2001,1,Norte,Nitossolo Vermelho eutrófico,420.0,29.98709677419355,20.95290322580645,25.340645161290325,76.44290322580645,1.8412903225806447,23.09935483870968,132.96,0.8203,7500.0,19500.0,43.33,15.469999999999999,0.7615126968142307,18.94840077419355,0.67289209,642.1482971904268,1.7973294484911626,,
Bandeirantes,00/01,2001,2,Norte,Nitossolo Vermelho eutrófico,420.0,29.08892857142857,21.3575,25.06107142857143,82.0307142857143,1.7517857142857145,19.48464285714286,249.83,0.7992,7500.0,19500.0,43.33,15.223214285714285,0.5713010155314339,15.572126571428573,0.6387206400000001,628.0573011479593,1.1258725765306172,,
Bandeirantes,00/01,2001,3,Norte,Nitossolo Vermelho eutrófico,420.0,29.15258064516129,20.76129032258065,24.804193548387094,80.42967741935485,1.6358064516129032,19.465806451612902,113.05,0.6232500000000001,7500.0,19500.0,43.33,14.956935483870971,0.6127504009648619,12.132063870967743,0.3884405625000001,615.248017585848,0.6467272632674248,,
Bandeirantes,01/02,2001,9,Norte,Nitossolo Vermelho eutrófico,420.0,29.76833333333333,15.942333333333332,22.222,66.99833333333333,3.2236666666666665,18.101333333333333,77.17,0.4445,9000.0,17100.0,31.67,12.85533333333333,0.8844179402030222,8.046042666666667,0.19758025,493.8172840000001,3.1612839999999953,1041.3700000000001,0.5925571428571429
Bandeirantes,01/02,2001,10,Norte,Nitossolo Vermelho eutrófico,420.0,30.973870967741934,16.80516129032258,23.450000000000003,67.09193548387097,2.7216129032258065,22.311935483870965,96.49,0.3963,9000.0,17100.0,31.67,13.889516129032259,0.9499962875627936,8.842220032258062,0.15705369,549.9025000000001,0.3024999999999969,1041.3700000000001,0.5925571428571429
Bandeirantes,01/02,2001,11,Norte,Nitossolo Vermelho eutrófico,420.0,31.471,20.046666666666667,25.624333333333333,69.57833333333333,2.266,20.968,119.08,0.4947,9000.0,17100.0,31.67,15.758833333333335,1.0001155100639116,10.3728696,0.24472808999999998,656.6064587777778,2.638458777777775,1041.3700000000001,0.5925571428571429
Bandeirantes,01/02,2001,12,Norte,Nitossolo Vermelho eutrófico,420.0,29.23677419354839,19.076129032258063,24.06064516129032,75.35645161290323,2.213225806451613,22.611290322580647,219.22,0.66215,9000.0,17100.0,31.67,14.156451612903226,0.7380240877251916,14.972065887096775,0.43844262250000005,578.9146455775233,0.003677835587929014,1041.3700000000001,0.5925571428571429
Bandeirantes,01/02,2002,1,Norte,Nitossolo Vermelho eutrófico,420.0,29.016451612903225,20.33,24.626129032258063,79.63548387096773,2.0751612903225807,21.96516129032258,252.31,0.8356,9000.0,17100.0,31.67,14.673225806451612,0.6308750653176669,18.35408877419355,0.69822736,606.4462311134234,0.3920375650364191,1041.3700000000001,0.5925571428571429
