municipio,SAFRA,REGIAO,Solo,Altitude (m),Tmax (°C),Tmin (°C),Tmed (°C),UR (%),U2 (m/s),RS (MJ/m²d),Chuva (mm),NDVI,AREA TOTAL,PRODUCAO,YIELD_SC_HA
Bandeirantes,00/01,Norte,Nitossolo Vermelho eutrófico,420.0,29.880471698113208,19.509952830188677,24.492264150943395,75.2286320754717,2.1720754716981134,20.746556603773588,1041.37,0.5910834905660377,7500.0,19500.0,43.33
Bandeirantes,01/02,Norte,Nitossolo Vermelho eutrófico,420.0,30.07674528301887,18.870896226415095,24.238490566037736,73.13566037735849,2.350566037735849,21.33448113207547,994.95,0.5996129716981132,9000.0,17100.0,31.67
Bandeirantes,02/03,Norte,Nitossolo Vermelho eutrófico,420.0,30.046179245283017,19.585990566037733,24.58853773584906,75.1152358490566,2.2524056603773586,20.241650943396223,1104.1,0.5130772798742138,9900.0,25740.0,43.33
Bandeirantes,03/04,Norte,Nitossolo Vermelho eutrófico,420.0,30.60676056338028,18.299483568075118,24.152629107981223,70.18356807511738,2.5887323943661973,21.57525821596244,799.16,0.585323082942097,12000.0,31200.0,43.33
Bandeirantes,04/05,Norte,Nitossolo Vermelho eutrófico,420.0,30.374764150943395,18.7613679245283,24.352311320754715,71.7922641509434,2.4306603773584903,20.59985849056604,993.26,0.5196599056603773,15500.0,29450.0,31.67
Bandeirantes,05/06,Norte,Nitossolo Vermelho eutrófico,420.0,29.60301886792453,19.090188679245284,24.073632075471696,76.04028301886792,2.423679245283019,19.969858490566036,1014.28,0.564530856918239,16300.0,36349.0,37.17
Bandeirantes,06/07,Norte,Nitossolo Vermelho eutrófico,420.0,29.719764150943398,19.45679245283019,24.407971698113208,75.30051886792452,2.335896226415094,20.34617924528302,1172.85,0.5284897405660377,14350.0,39462.5,45.83
Bandeirantes,07/08,Norte,Nitossolo Vermelho eutrófico,420.0,30.97356807511737,19.159530516431925,24.753145539906104,70.21234741784038,2.552535211267606,20.55924882629108,859.85,0.5941483959311424,13400.0,38190.0,47.5
Bandeirantes,08/09,Norte,Nitossolo Vermelho eutrófico,420.0,29.893301886792454,18.676698113207546,24.037216981132076,73.23056603773584,2.411179245283019,20.770707547169813,959.5600000000001,0.6222380896226416,13550.0,26829.0,33.0
Bandeirantes,09/10,Norte,Nitossolo Vermelho eutrófico,420.0,28.418066037735848,19.885518867924524,24.014150943396228,83.29132075471698,2.2662264150943394,18.95674528301887,1484.3,0.6318123034591195,13700.0,40826.0,49.67
Bandeirantes,10/11,Norte,Nitossolo Vermelho eutrófico,420.0,29.532028301886793,18.93292452830189,23.957358490566037,74.93122641509434,2.389103773584906,19.82792452830189,977.08,0.5901764544025158,14140.0,49207.2,58.0
Bandeirantes,11/12,Norte,Nitossolo Vermelho eutrófico,420.0,31.572957746478874,18.53164319248826,24.76070422535211,66.09018779342722,2.4807042253521128,22.332910798122064,742.49,0.5537732785602504,14500.0,32349.5,37.18
Bandeirantes,12/13,Norte,Nitossolo Vermelho eutrófico,420.0,31.184150943396226,19.569433962264153,25.085283018867923,70.62014150943396,2.4985849056603775,20.37264150943396,835.59,0.5832165094339623,15500.0,50220.0,54.0
