municipio,SAFRA,ano,mes,REGIAO,Solo,Altitude (m),Tmax (°C),Tmin (°C),Tmed (°C),UR (%),U2 (m/s),RS (MJ/m²d),Chuva (mm),NDVI,AREA TOTAL,PRODUCAO,YIELD_SC_HA
Bandeirantes,00/01,2000,9,Norte,Nitossolo Vermelho eutrófico,420.0,26.999333333333333,15.468333333333334,20.833666666666666,76.71866666666666,2.8976666666666664,16.016333333333332,143.07999999999998,0.38139999999999996,7500.0,19500.0,43.33
Bandeirantes,00/01,2000,10,Norte,Nitossolo Vermelho eutrófico,420.0,32.557096774193546,18.793225806451613,25.228709677419356,66.44,2.5503225806451613,22.08451612903226,71.28,0.3665,7500.0,19500.0,43.33
Bandeirantes,00/01,2000,11,Norte,Nitossolo Vermelho eutrófico,420.0,30.932333333333336,19.299666666666667,24.996,71.489,2.393333333333333,22.179,173.52,0.4962,7500.0,19500.0,43.33
Bandeirantes,00/01,2000,12,Norte,Nitossolo Vermelho eutrófico,420.0,30.31032258064516,19.978387096774195,25.13483870967742,73.63516129032259,2.1241935483870966,22.66774193548387,157.65,0.6610499999999999,7500.0,19500.0,43.33
Bandeirantes,00/01,2001,1,Norte,Nitossolo Vermelho eutrófico,420.0,29.98709677419355,20.952903225806452,25.340645161290325,76.44290322580645,1.8412903225806452,23.09935483870968,132.96,0.8203,7500.0,19500.0,43.33
Bandeirantes,00/01,2001,2,Norte,Nitossolo Vermelho eutrófico,420.0,29.08892857142857,21.357499999999998,25.06107142857143,82.0307142857143,1.7517857142857143,19.48464285714286,249.83,0.7992,7500.0,19500.0,43.33
Bandeirantes,00/01,2001,3,Norte,Nitossolo Vermelho eutrófico,420.0,29.15258064516129,20.761290322580646,24.804193548387094,80.42967741935485,1.6358064516129032,19.465806451612906,113.05,0.6232500000000001,7500.0,19500.0,43.33
Bandeirantes,01/02,2001,9,Norte,Nitossolo Vermelho eutrófico,420.0,29.76833333333333,15.942333333333332,22.221999999999998,66.99833333333333,3.2236666666666665,18.101333333333333,77.17,0.4445,9000.0,17100.0,31.67
Bandeirantes,01/02,2001,10,Norte,Nitossolo Vermelho eutrófico,420.0,30.973870967741938,16.80516129032258,23.450000000000003,67.09193548387097,2.7216129032258065,22.311935483870965,96.49,0.3963,9000.0,17100.0,31.67
Bandeirantes,01/02,2001,11,Norte,Nitossolo Vermelho eutrófico,420.0,31.471,20.046666666666667,25.624333333333333,69.57833333333333,2.266,20.968,119.08,0.49470000000000003,9000.0,17100.0,31.67
Bandeirantes,01/02,2001,12,Norte,Nitossolo Vermelho eutrófico,420.0,29.23677419354839,19.076129032258066,24.06064516129032,75.35645161290323,2.213225806451613,22.611290322580647,219.22,0.66215,9000.0,17100.0,31.67
Bandeirantes,01/02,2002,1,Norte,Nitossolo Vermelho eutrófico,420.0,29.016451612903225,20.330000000000002,24.626129032258063,79.63548387096773,2.0751612903225807,21.96516129032258,252.31,0.8356,9000.0,17100.0,31.67
Bandeirantes,01/02,2002,2,Norte,Nitossolo Vermelho eutrófico,420.0,28.718214285714286,19.124642857142856,23.818214285714284,79.02714285714285,2.1610714285714283,21.55,138.24,0.7799000000000001,9000.0,17100.0,31.67
