municipio,SAFRA,REGIAO,AREA TOTAL,PRODUCAO,YIELD_SC_HA
Bandeirantes,00/01,Norte,7500,19500.0,43.33
Bandeirantes,01/02,Norte,9000,17100.0,31.67
Bandeirantes,02/03,Norte,9900,25740.0,43.33
Bandeirantes,03/04,Norte,12000,31200.0,43.33
Bandeirantes,04/05,Norte,15500,29450.0,31.67
Bandeirantes,05/06,Norte,16300,36349.0,37.17
Bandeirantes,06/07,Norte,14350,39462.5,45.83
Bandeirantes,07/08,Norte,13400,38190.0,47.5
Bandeirantes,08/09,Norte,13550,26829.0,33.0
Bandeirantes,09/10,Norte,13700,40826.0,49.67
Bandeirantes,10/11,Norte,14140,49207.2,58.0
Bandeirantes,11/12,Norte,14500,32349.5,37.18
Bandeirantes,12/13,Norte,15500,50220.0,54.0
Bandeirantes,13/14,Norte,16190,23637.4,24.33
Bandeirantes,14/15,Norte,17480,46147.2,44.0
Bandeirantes,15/16,Norte,18160,50121.6,46.0
Bandeirantes,16/17,Norte,18200,63336.0,58.0
Bandeirantes,17/18,Norte,18240,56908.8,52.0
Bandeirantes,18/19,Norte,18250,49275.0,45.0
Bandeirantes,19/20,Norte,18250,60225.0,55.0
Bandeirantes,20/21,Norte,18320,62654.4,57.0
Bandeirantes,21/22,Norte,18250,52560.0,48.0
Bandeirantes,22/23,Norte,18800,66552.0,59.0
Bandeirantes,23/24,Norte,18400,34224.0,31.0
Bandeirantes,96/97,Norte,6000,13200.0,36.67
Bandeirantes,97/98,Norte,7100,13206.0,31.0
Bandeirantes,98/99,Norte,6000,15600.0,43.33
Bandeirantes,99/00,Norte,7500,13013.0,28.92
Campina do Simão,00/01,Sul,3400,9860.0,48.33
Campina do Simão,01/02,Sul,4300,10965.0,42.5
Campina do Simão,02/03,Sul,4900,13720.0,46.67
Campina do Simão,03/04,Sul,5600,14560.0,43.33
Campina do Simão,04/05,Sul,6100,12200.0,33.33
Campina do Simão,05/06,Sul,5900,14750.0,41.67
Campina do Simão,06/07,Sul,6400,17600.0,45.83
Campina do Simão,07/08,Sul,5800,15370.0,44.17
Campina do Simão,08/09,Sul,5950,14875.0,41.67
Campina do Simão,09/10,Sul,6620,18535.0,46.66
Campina do Simão,10/11,Sul,6810,21440.0,52.47
