SAFRA,Município,REGIAO,AREA TOTAL,PRODUCAO
00/01,Bandeirantes,Norte,7500,19500
01/02,Bandeirantes,Norte,9000,17100
02/03,Bandeirantes,Norte,9900,25740
03/04,Bandeirantes,Norte,12000,31200
04/05,Bandeirantes,Norte,15500,29450
05/06,Bandeirantes,Norte,16300,36349
06/07,Bandeirantes,Norte,14350,"39462,5"
07/08,Bandeirantes,Norte,13400,38190
08/09,Bandeirantes,Norte,13550,26829
09/10,Bandeirantes,Norte,13700,40826
10/11,Bandeirantes,Norte,14140,"49207,2"
11/12,Bandeirantes,Norte,14500,"32349,5"
12/13,Bandeirantes,Norte,15500,50220
13/14,Bandeirantes,Norte,16190,"23637,4"
14/15,Bandeirantes,Norte,17480,"46147,2"
15/16,Bandeirantes,Norte,18160,"50121,6"
16/17,Bandeirantes,Norte,18200,63336
17/18,Bandeirantes,Norte,18240,"56908,8"
18/19,Bandeirantes,Norte,18250,49275
19/20,Bandeirantes,Norte,18250,60225
20/21,Bandeirantes,Norte,18320,"62654,4"
21/22,Bandeirantes,Norte,18250,52560
22/23,Bandeirantes,Norte,18800,66552
23/24,Bandeirantes,Norte,18400,34224
96/97,Bandeirantes,Norte,6000,13200
97/98,Bandeirantes,Norte,7100,13206
98/99,Bandeirantes,Norte,6000,15600
99/00,Bandeirantes,Norte,7500,13013
00/01,Campina do Simão,Sul,3400,9860
01/02,Campina do Simão,Sul,4300,10965
02/03,Campina do Simão,Sul,4900,13720
03/04,Campina do Simão,Sul,5600,14560
04/05,Campina do Simão,Sul,6100,12200
05/06,Campina do Simão,Sul,5900,14750
06/07,Campina do Simão,Sul,6400,17600
07/08,Campina do Simão,Sul,5800,15370
08/09,Campina do Simão,Sul,5950,14875
09/10,Campina do Simão,Sul,6620,18535
10/11,Campina do Simão,Sul,6810,21440
11/12,Campina do Simão,Sul,6100,15860
12/13,Campina do Simão,Sul,6300,19215
13/14,Campina do Simão,Sul,7900,24885
14/15,Campina do Simão,Sul,8400,26040
15/16,Campina do Simão,Sul,8600,27950
16/17,Campina do Simão,Sul,9700,36666
17/18,Campina do Simão,Sul,10100,34643
18/19,Campina do Simão,Sul,10550,35448
19/20,Campina do Simão,Sul,10820,42065
20/21,Campina do Simão,Sul,10920,38115
21/22,Campina do Simão,Sul,11280,37928
22/23,Campina do Simão,Sul,11720,47912
23/24,Campina do Simão,Sul,12160,47328
96/97,Campina do Simão,Sul,3700,9250
97/98,Campina do Simão,Sul,3900,10530
98/99,Campina do Simão,Sul,3500,8820
99/00,Campina do Simão,Sul,3300,7755
00/01,Cruzeiro do Sul,Noroeste,600,2100
01/02,Cruzeiro do Sul,Noroeste,1600,5552
02/03,Cruzeiro do Sul,Noroeste,2122,"7363,34"
03/04,Cruzeiro do Sul,Noroeste,2240,3360
04/05,Cruzeiro do Sul,Noroeste,2200,6380
05/06,Cruzeiro do Sul,Noroeste,2132,4264
06/07,Cruzeiro do Sul,Noroeste,2000,6000
07/08,Cruzeiro do Sul,Noroeste,1920,4224
08/09,Cruzeiro do Sul,Noroeste,1920,4128
09/10,Cruzeiro do Sul,Noroeste,1843,"5919,72"
10/11,Cruzeiro do Sul,Noroeste,1939,"6398,7"
11/12,Cruzeiro do Sul,Noroeste,1939,2924
12/13,Cruzeiro do Sul,Noroeste,2100,7854
13/14,Cruzeiro do Sul,Noroeste,2200,"5297,6"
14/15,Cruzeiro do Sul,Noroeste,2400,8040
15/16,Cruzeiro do Sul,Noroeste,1950,"5362,5"
16/17,Cruzeiro do Sul,Noroeste,2000,7000
17/18,Cruzeiro do Sul,Noroeste,2500,7750
18/19,Cruzeiro do Sul,Noroeste,3700,"6419,5"
19/20,Cruzeiro do Sul,Noroeste,4300,12900
20/21,Cruzeiro do Sul,Noroeste,4500,13500
21/22,Cruzeiro do Sul,Noroeste,4244,"8415,85"
22/23,Cruzeiro do Sul,Noroeste,5404,"19454,4"
23/24,Cruzeiro do Sul,Noroeste,5938,"13983,99"
96/97,Cruzeiro do Sul,Noroeste,470,1175
97/98,Cruzeiro do Sul,Noroeste,350,910
98/99,Cruzeiro do Sul,Noroeste,350,1015
99/00,Cruzeiro do Sul,Noroeste,550,1320
03/04,Diamante do Norte,Noroeste,290,189
04/05,Diamante do Norte,Noroeste,270,"48,6"
05/06,Diamante do Norte,Noroeste,270,405
12/13,Diamante do Norte,Noroeste,116,"272,6"
13/14,Diamante do Norte,Noroeste,210,328
14/15,Diamante do Norte,Noroeste,350,945
15/16,Diamante do Norte,Noroeste,430,1376
16/17,Diamante do Norte,Noroeste,714,"2284,8"
17/18,Diamante do Norte,Noroeste,1524,"4876,8"
18/19,Diamante do Norte,Noroeste,1887,"3585,3"
19/20,Diamante do Norte,Noroeste,3783,"9835,8"
20/21,Diamante do Norte,Noroeste,3400,10200
21/22,Diamante do Norte,Noroeste,3400,6120
22/23,Diamante do Norte,Noroeste,3400,13940
23/24,Diamante do Norte,Noroeste,3400,6120
98/99,Diamante do Norte,Noroeste,135,405
99/00,Diamante do Norte,Noroeste,90,180
00/01,Diamante do Sul,Sul,100,340
01/02,Diamante do Sul,Sul,180,360
02/03,Diamante do Sul,Sul,350,1050
03/04,Diamante do Sul,Sul,500,1150
04/05,Diamante do Sul,Sul,800,1600
05/06,Diamante do Sul,Sul,2550,7650
06/07,Diamante do Sul,Sul,800,2440
07/08,Diamante do Sul,Sul,980,3116
08/09,Diamante do Sul,Sul,1300,2390
09/10,Diamante do Sul,Sul,1910,"5407,8"
10/11,Diamante do Sul,Sul,1330,"4079,5"
11/12,Diamante do Sul,Sul,1100,1914
12/13,Diamante do Sul,Sul,1050,3255
13/14,Diamante do Sul,Sul,1270,"3784,6"
14/15,Diamante do Sul,Sul,2000,6300
15/16,Diamante do Sul,Sul,1700,4930
16/17,Diamante do Sul,Sul,1600,5760
17/18,Diamante do Sul,Sul,1700,5270
18/19,Diamante do Sul,Sul,1600,4768
19/20,Diamante do Sul,Sul,1900,7068
20/21,Diamante do Sul,Sul,2000,6200
21/22,Diamante do Sul,Sul,2600,3536
22/23,Diamante do Sul,Sul,2705,"11048,5"
23/24,Diamante do Sul,Sul,3005,"9308,05"
96/97,Diamante do Sul,Sul,50,150
97/98,Diamante do Sul,Sul,70,210
98/99,Diamante do Sul,Sul,96,"297,6"
99/00,Diamante do Sul,Sul,96,"297,6"
00/01,Francisco Alves,Noroeste,3910,"13492,5"
01/02,Francisco Alves,Noroeste,5000,16750
02/03,Francisco Alves,Noroeste,9000,27000
03/04,Francisco Alves,Noroeste,15000,30000
04/05,Francisco Alves,Noroeste,16000,48000
05/06,Francisco Alves,Noroeste,15300,22860
06/07,Francisco Alves,Noroeste,14077,41077
07/08,Francisco Alves,Noroeste,13507,33757
08/09,Francisco Alves,Noroeste,13890,"16586,4"
09/10,Francisco Alves,Noroeste,13820,43994
10/11,Francisco Alves,Noroeste,13730,43909
11/12,Francisco Alves,Noroeste,14350,19447
12/13,Francisco Alves,Noroeste,15485,43729
13/14,Francisco Alves,Noroeste,16250,38950
14/15,Francisco Alves,Noroeste,16860,51690
15/16,Francisco Alves,Noroeste,17080,61320
16/17,Francisco Alves,Noroeste,17250,58650
17/18,Francisco Alves,Noroeste,18400,66240
18/19,Francisco Alves,Noroeste,18600,31620
19/20,Francisco Alves,Noroeste,19000,66500
20/21,Francisco Alves,Noroeste,19000,62700
21/22,Francisco Alves,Noroeste,19000,9120
22/23,Francisco Alves,Noroeste,19750,35550
23/24,Francisco Alves,Noroeste,19080,38160
