SAFRA,Município,REGIAO,PRODUCAO
00/01,Bandeirantes,Norte,43.33
01/02,Bandeirantes,Norte,31.67
02/03,Bandeirantes,Norte,43.33
03/04,Bandeirantes,Norte,43.33
04/05,Bandeirantes,Norte,31.67
05/06,Bandeirantes,Norte,37.17
06/07,Bandeirantes,Norte,45.83
07/08,Bandeirantes,Norte,47.5
08/09,Bandeirantes,Norte,33.0
09/10,Bandeirantes,Norte,49.67
10/11,Bandeirantes,Norte,58.0
11/12,Bandeirantes,Norte,37.18
12/13,Bandeirantes,Norte,54.0
13/14,Bandeirantes,Norte,24.33
14/15,Bandeirantes,Norte,44.0
15/16,Bandeirantes,Norte,46.0
16/17,Bandeirantes,Norte,58.0
17/18,Bandeirantes,Norte,52.0
18/19,Bandeirantes,Norte,45.0
19/20,Bandeirantes,Norte,55.0
20/21,Bandeirantes,Norte,57.0
21/22,Bandeirantes,Norte,48.0
22/23,Bandeirantes,Norte,59.0
23/24,Bandeirantes,Norte,31.0
96/97,Bandeirantes,Norte,36.67
97/98,Bandeirantes,Norte,31.0
98/99,Bandeirantes,Norte,43.33
99/00,Bandeirantes,Norte,28.92
00/01,Campina do Simão,Sul,48.33
01/02,Campina do Simão,Sul,42.5
02/03,Campina do Simão,Sul,46.67
03/04,Campina do Simão,Sul,43.33
04/05,Campina do Simão,Sul,33.33
05/06,Campina do Simão,Sul,41.67
06/07,Campina do Simão,Sul,45.83
07/08,Campina do Simão,Sul,44.17
08/09,Campina do Simão,Sul,41.67
09/10,Campina do Simão,Sul,46.66
10/11,Campina do Simão,Sul,52.47
11/12,Campina do Simão,Sul,43.33
12/13,Campina do Simão,Sul,50.83
13/14,Campina do Simão,Sul,52.5
14/15,Campina do Simão,Sul,51.67
15/16,Campina do Simão,Sul,54.17
16/17,Campina do Simão,Sul,63.0
17/18,Campina do Simão,Sul,57.17
18/19,Campina do Simão,Sul,56.0
19/20,Campina do Simão,Sul,64.8
20/21,Campina do Simão,Sul,58.17
21/22,Campina do Simão,Sul,56.04
22/23,Campina do Simão,Sul,68.13
23/24,Campina do Simão,Sul,64.87
96/97,Campina do Simão,Sul,41.67
97/98,Campina do Simão,Sul,45.0
98/99,Campina do Simão,Sul,42.0
99/00,Campina do Simão,Sul,39.17
00/01,Cruzeiro do Sul,Noroeste,58.33
01/02,Cruzeiro do Sul,Noroeste,57.83
02/03,Cruzeiro do Sul,Noroeste,57.83
03/04,Cruzeiro do Sul,Noroeste,25.0
04/05,Cruzeiro do Sul,Noroeste,48.33
05/06,Cruzeiro do Sul,Noroeste,33.33
06/07,Cruzeiro do Sul,Noroeste,50.0
07/08,Cruzeiro do Sul,Noroeste,36.67
